Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Klaster
PAPUA BARAT,Sorong,3.36,0
PAPUA BARAT,Raja Ampat,3.81,0
PAPUA BARAT,Tambrauw,1.49,0
PAPUA BARAT,Maybrat,1.89,0
PAPUA BARAT,Manokwari Selatan,2.9,0
PAPUA BARAT,Pegunungan Arfak,0.7,0
PAPUA BARAT,Kota Sorong,9.95,1
PAPUA,Merauke,2.19,0
PAPUA,Jayawijaya,1.62,0
PAPUA,Jayapura,7.87,1
PAPUA,Nabire,3.05,0
PAPUA,Kepulauan Yapen,2.47,0
PAPUA,Biak Numfor,9.49,1
PAPUA,Paniai,0.74,0
PAPUA,Puncak Jaya,1.74,0
PAPUA,Mimika,5.37,2
PAPUA,Boven Digoel,6.73,2
PAPUA,Mappi,4.11,0
PAPUA,Asmat,0.45,0
PAPUA,Yahukimo,2.25,0
PAPUA,Pegunungan Bintang,4.43,2
PAPUA,Tolikara,1.12,0
PAPUA,Sarmi,3.5,0
PAPUA,Keerom,1.41,0
PAPUA,Waropen,8.56,1
PAPUA,Supiori,2.66,0
PAPUA,Mamberamo Raya,1.91,0
PAPUA,Nduga *,0.0,0
PAPUA,Lanny Jaya,0.0,0
PAPUA,Mamberamo Tengah,0.9,0
PAPUA,Yalimo,0.41,0
PAPUA,Puncak,0.94,0
PAPUA,Dogiyai,5.68,2
PAPUA,Intan Jaya,1.43,0
PAPUA,Deiyai,0.79,0
PAPUA,Kota Jayapura,11.67,1
