Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
JAWA BARAT,Sukabumi,0.9999134865346092,4.370451060839724e-28,8.57241954356941e-05,0.0,7.882641125123039e-07,1.0058426286134567e-09,0
JAWA BARAT,Cianjur,0.9917651776927123,3.9147352072266506e-14,4.019714540560836e-09,1.1353201303500617e-163,0.007106506979545749,0.0011283113079884307,0
JAWA BARAT,Bandung,0.999988771931338,6.905240833456047e-92,1.12280686621876e-05,0.0,1.5159765972130714e-23,3.8215757514540214e-33,0
JAWA BARAT,Garut,0.9995228304875988,1.9939649370894954e-18,5.729082387856429e-10,6.842797753166368e-253,0.00042984379122686475,4.732514826625437e-05,0
JAWA BARAT,Tasikmalaya,0.16008949857858398,1.5167081294479389e-05,6.078894548428755e-21,5.236489540299794e-91,0.478089030376776,0.3618063039633453,4
JAWA BARAT,Ciamis,0.034056203191185574,0.00037879836909243155,2.5160435221920616e-21,8.3563653211471e-72,0.17357752048703487,0.7919874779526872,5
JAWA BARAT,Kuningan,0.8716650608064509,1.7694233548305236e-16,7.309196808088035e-07,7.964277855320293e-39,0.12810140979182513,0.00023279848204296285,0
JAWA BARAT,Cirebon,0.9994721091885911,2.3694737241365253e-17,4.7165277084618894e-08,5.931622892598002e-178,0.00046853229617982493,5.9311349951966936e-05,0
JAWA BARAT,Majalengka,0.10559591687004692,0.0003946403217019216,1.659976980596295e-25,4.928258416348887e-73,0.5886573635098841,0.30535207929836716,4
JAWA BARAT,Sumedang,0.7533920805143922,9.110264134899123e-10,3.6153003560736173e-09,1.726259762088313e-82,0.20781056748813695,0.03879734747114413,0
