Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SULAWESI SELATAN,Enrekang,2.34,12.47,0
SULAWESI SELATAN,Luwu,4.8,12.53,0
SULAWESI SELATAN,Tana Toraja,3.09,12.27,0
SULAWESI SELATAN,Luwu Utara,3.91,13.59,0
SULAWESI SELATAN,Luwu Timur,4.96,6.94,0
SULAWESI SELATAN,Toraja Utara,2.61,11.99,0
SULAWESI SELATAN,Kota Makassar,13.18,4.82,2
SULAWESI SELATAN,Kota Parepare,6.72,5.4,2
SULAWESI SELATAN,Kota Palopo,8.83,8.14,2
SULAWESI TENGGARA,Buton,4.74,13.92,0
SULAWESI TENGGARA,Muna,4.97,13.54,0
SULAWESI TENGGARA,Konawe,4.56,13.03,0
SULAWESI TENGGARA,Kolaka,3.62,12.43,0
SULAWESI TENGGARA,Konawe Selatan,2.14,11.34,0
SULAWESI TENGGARA,Bombana,3.17,10.76,0
SULAWESI TENGGARA,Wakatobi,2.3,14.91,0
SULAWESI TENGGARA,Kolaka Utara,3.18,13.79,0
SULAWESI TENGGARA,Buton Utara,3.0,14.89,0
SULAWESI TENGGARA,Konawe Utara,3.36,14.32,0
SULAWESI TENGGARA,Kolaka Timur,3.44,14.35,0
SULAWESI TENGGARA,Konawe Kepulauan,1.83,17.81,0
SULAWESI TENGGARA,Muna Barat,2.84,13.96,0
SULAWESI TENGGARA,Buton Tengah,3.77,15.8,0
SULAWESI TENGGARA,Buton Selatan,3.92,14.62,0
SULAWESI TENGGARA,Kota Kendari,5.19,4.87,0
SULAWESI TENGGARA,Kota Baubau,6.87,7.78,2
GORONTALO,Boalemo,3.57,19.0,0
GORONTALO,Gorontalo,2.12,17.89,0
GORONTALO,Pohuwato,2.45,18.08,0
GORONTALO,Bone Bolango,3.45,16.3,0
GORONTALO,Gorontalo Utara,2.3,17.23,0
GORONTALO,Kota Gorontalo,4.55,5.93,0
SULAWESI BARAT,Majene,2.85,14.34,0
SULAWESI BARAT,Polewali Mandar,3.38,15.68,0
SULAWESI BARAT,Mamasa,2.18,13.77,0
SULAWESI BARAT,Mamuju,3.79,7.46,0
SULAWESI BARAT,Mamuju Utara,3.13,4.77,0
SULAWESI BARAT,Mamuju Tengah,2.52,7.13,0
MALUKU,Maluku Tenggara Barat,4.4,27.27,1
MALUKU,Maluku Tenggara,5.06,22.73,1
MALUKU,Maluku Tengah,8.07,19.84,2
MALUKU,Buru,4.85,17.28,0
MALUKU,Kepulauan Aru,1.55,26.53,1
MALUKU,Seram Bagian Barat,5.65,25.27,1
MALUKU,Seram Bagian Timur,3.88,23.25,1
MALUKU,Maluku Barat Daya,1.8,29.55,1
MALUKU,Buru Selatan,1.63,15.89,0
MALUKU,Kota Ambon,11.32,5.02,2
MALUKU,Kota Tual,8.71,23.26,2
MALUKU UTARA,Halmahera Barat,3.26,8.95,0
MALUKU UTARA,Halmahera Tengah,4.23,13.52,0
