Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
NUSA TENGGARA TIMUR,Nagekeo,1406360,0.97,12.91,89.07,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,1.96,26.5,46.98,1
NUSA TENGGARA TIMUR,Sabu Raijua,785138,1.25,30.13,81.28,1
NUSA TENGGARA TIMUR,Malaka,1915540,3.43,16.33,71.08,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,9.76,9.17,89.86,2
KALIMANTAN BARAT,Sambas,13948120,3.97,7.66,92.66,0
KALIMANTAN BARAT,Bengkayang,5842930,4.42,6.48,82.17,0
KALIMANTAN BARAT,Landak,7312662,3.22,10.99,62.85,0
KALIMANTAN BARAT,Pontianak,5466323,7.71,5.18,83.95,0
KALIMANTAN BARAT,Sanggau,13790449,3.45,4.55,70.34,0
KALIMANTAN BARAT,Ketapang,18848703,6.94,10.13,75.46,0
KALIMANTAN BARAT,Sintang,9731976,3.95,9.28,65.33,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,4.18,8.93,69.7,0
KALIMANTAN BARAT,Sekadau,4435321,2.92,6.26,69.63,0
KALIMANTAN BARAT,Melawi,3500136,2.66,12.01,71.62,0
KALIMANTAN BARAT,Kayong Utara,2632989,3.78,9.33,71.34,0
KALIMANTAN BARAT,Kubu Raya,18754974,7.02,4.34,75.74,0
KALIMANTAN BARAT,Kota Pontianak,24919417,12.38,4.58,96.48,2
KALIMANTAN BARAT,Kota Singkawang,6977774,9.16,4.83,92.21,2
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,4.7,3.95,90.73,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,5.15,5.91,72.62,0
KALIMANTAN TENGAH,Kapuas,11306032,4.91,5.35,49.23,0
KALIMANTAN TENGAH,Barito Selatan,4326702,4.16,4.62,63.66,0
KALIMANTAN TENGAH,Barito Utara,7151778,5.14,5.61,72.23,0
KALIMANTAN TENGAH,Sukamara,3043322,4.65,3.66,81.37,0
KALIMANTAN TENGAH,Lamandau,3968760,2.3,3.56,81.89,0
KALIMANTAN TENGAH,Seruyan,6033556,4.25,7.22,75.65,0
