Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
D I YOGYAKARTA,Kota Yogyakarta,5.327804970713693e-76,0.760928652304284,0.23907134769571586,1
JAWA TIMUR,Pacitan,1.689328231923336e-08,0.9971865354534871,0.00281344765323069,1
JAWA TIMUR,Ponorogo,7.453345605979998e-16,0.9909289922521833,0.009071007747815902,1
JAWA TIMUR,Trenggalek,4.955799152689974e-12,0.9939254666927456,0.0060745333022985395,1
JAWA TIMUR,Tulungagung,2.6823763800259234e-71,0.9509246763978794,0.04907532360212053,1
JAWA TIMUR,Blitar,3.477009037408016e-63,0.9681708635812682,0.03182913641873153,1
JAWA TIMUR,Kediri,1.9990823714588042e-86,0.9359847331491878,0.06401526685081224,1
JAWA TIMUR,Malang,0.0,4.559991006093117e-09,0.9999999954400094,2
JAWA TIMUR,Lumajang,4.20611415489051e-47,0.982676638415428,0.01732336158457197,1
JAWA TIMUR,Jember,0.0,0.0001573019380607912,0.9998426980619392,2
JAWA TIMUR,Banyuwangi,0.0,6.796370265800765e-05,0.9999320362973415,2
JAWA TIMUR,Bondowoso,7.629928678071316e-15,0.9961544247177617,0.0038455752822306993,1
JAWA TIMUR,Situbondo,4.7887305204772726e-14,0.994115130042513,0.005884869957439103,1
JAWA TIMUR,Probolinggo,5.904053882927592e-56,0.9991494309333191,0.0008505690666810771,1
JAWA TIMUR,Pasuruan,0.0,1.3243304035283189e-28,1.0,2
JAWA TIMUR,Sidoarjo,0.0,5.0906237693072076e-51,1.0,2
JAWA TIMUR,Mojokerto,0.0,4.000556597343452e-06,0.9999959994434027,2
JAWA TIMUR,Jombang,2.892667671263956e-79,0.9034444357645186,0.09655556423548146,1
JAWA TIMUR,Nganjuk,9.099457846997209e-30,0.9888136169536603,0.011186383046339607,1
JAWA TIMUR,Madiun,9.574558150723276e-13,0.9908701573607926,0.009129842638249898,1
JAWA TIMUR,Magetan,8.096344188214508e-13,0.9925338222005715,0.007466177798618832,1
JAWA TIMUR,Ngawi,9.349069369962174e-15,0.9972899182480678,0.00271008175192292,1
JAWA TIMUR,Bojonegoro,0.0,8.739353981291734e-08,0.9999999126064598,2
JAWA TIMUR,Tuban,2.321185299050135e-217,0.3238565734861814,0.6761434265138185,2
JAWA TIMUR,Lamongan,2.5656028727350823e-78,0.9749261159659226,0.02507388403407764,1
JAWA TIMUR,Gresik,0.0,3.293005167554079e-23,1.0,2
JAWA TIMUR,Bangkalan,5.204133629734588e-26,0.9999443894058506,5.561059414916333e-05,1
JAWA TIMUR,Sampang,2.6243150860937123e-16,0.9999903026022458,9.697397753826836e-06,1
JAWA TIMUR,Pamekasan,3.784975072302381e-09,0.9972616806934901,0.0027383155215347987,1
JAWA TIMUR,Sumenep,3.572472435057468e-60,0.9994230030706651,0.0005769969293352962,1
JAWA TIMUR,Kota Kediri,0.0,8.845975149563173e-17,1.0,2
JAWA TIMUR,Kota Blitar,0.6691496814621458,0.31519004545054013,0.0156602730873141,0
JAWA TIMUR,Kota Malang,5.869267479831e-311,0.0002661600976105352,0.9997338399023891,2
JAWA TIMUR,Kota Probolinggo,0.011315212291549234,0.9601820335615265,0.028502754146924235,1
JAWA TIMUR,Kota Pasuruan,0.5065115521500608,0.47983751741823566,0.013650930431703373,0
JAWA TIMUR,Kota Mojokerto,0.6908802094455041,0.2946676483891073,0.014452142165388518,0
JAWA TIMUR,Kota Madiun,2.0465572840494083e-05,0.9450951575835697,0.054884376843589724,1
JAWA TIMUR,Kota Surabaya,0.0,0.0,1.0,2
JAWA TIMUR,Kota Batu,1.445665241735515e-06,0.9887929293777045,0.011205624957053717,1
