Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
KALIMANTAN SELATAN,Tanah Bumbu,16047002,6.83,4.82,71.0,0
KALIMANTAN SELATAN,Balangan,9477288,2.44,6.07,69.11,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,8.47,4.89,77.57,1
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,5.7,4.4,79.26,1
KALIMANTAN TIMUR,Paser,36588972,5.7,9.73,72.93,0
KALIMANTAN TIMUR,Kutai Barat,21509219,5.14,10.24,72.07,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,5.66,7.99,74.06,1
KALIMANTAN TIMUR,Kutai Timur,91906125,5.35,9.81,73.81,1
KALIMANTAN TIMUR,Berau,28802736,5.82,5.88,75.2,1
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,2.95,7.61,72.01,0
KALIMANTAN TIMUR,Mahakam Hulu,1786101,3.14,11.9,67.95,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,8.94,2.89,80.71,1
KALIMANTAN TIMUR,Kota Samarinda,46282119,8.16,4.99,80.76,1
KALIMANTAN TIMUR,Kota Bontang,39949434,9.92,4.62,80.59,1
KALIMANTAN UTARA,Malinau,8190168,4.14,7.3,72.32,0
